node_id,node_attr
0,m.02_1x1x
1,male
2,the disruption of virginia
3,history
4,journalist
5,lou grant
6,biographer
7,writer
8,barack obama
9,notebook on black history month 2012 (part 1): carter g. woodson and company
10,events in 2011 and forthcoming book strengthen james baldwin's legacy
11,biography
12,black history month enhanced by international year for people of african descent
13,carter g. woodson house
14,national
15,the approaching 100th anniversary of the harlem renaissance (part 2)
16,african-american literature
17,m.09ynzs6
18,harlem renaissance way down south
19,short non-fiction
20,author
21,"leisha kelly – author- \""house on malcolm street\"""
22,guerrilla decontextualization and the 2012 presidential election campaign (part 1)
23,african american
24,m.0_z5n99
25,librettist
26,negro orators and their orations
27,article
28,transient ischemic attack
29,playwright
30,the passion-driven writer and the digital-age literary marketplace
31,m.010g0j4_
32,gout
33,m.09hy5xy
34,university of chicago
35,barrett's esophagus
36,m.0b49c_w
37,report on 2011 international year part 5 haiti's poetics of pain and resilience
38,new journalism
39,west virginia
40,eastern time zone
41,abdominal aortic aneurysm
42,cardiovascular disease
43,black history month: what would du bois do today?
44,prostate cancer
45,carter g. woodson
46,woodson k-8 school
47,m.09w10n8
48,society of authors
49,m.0dhdgyr
50,aberjhani
51,harlem renaissance
52,united states of america
53,"c-span's lcv 2011 u.s. cities tour wraps up savannah shoot, now in charleston"
54,politics and government
55,"united states, with territories"
56,garth marenghi
57,columnist
58,"a writer's journey to selma, alabama"
59,epilepsy
60,"p.r.o, writer"
61,"savannah, immortal city photography exhibit"
62,heart attack
63,african-american history
64,photography exhibit commemorates 150th anniversary of american civil war (part 1)
65,jeremy yablan
66,kiersten fay
67,historian
68,american historian
69,english language
70,m.07n73w_
71,notebook on black history month 2012 (part 4) the black power mixtape 1967-1975
72,"“in addition to her musical sensibilities, [nina simone] also possessed a social/political consciousness that was magnified by friendships with individuals like the playwright lorraine hansberry, author james baldwin, and author langston hughes, all of whom at various times lent their artistry to the struggle for racial equality.”"
73,bathilda bagshot
74,carter g. woodson middle school
75,m.0dhxckl
76,m.0j7v__g
77,black history month
78,"black history month observance rule (canada, 1995 - now)"
79,southern united states
80,m.011nj8nh
81,parkinson's disease
82,seborrheic dermatitis
83,dramaturgist
84,m.02_98hd
85,"\""president obama appears to me to have elevated and implemented the artist-activist concept to the role of empowered servant-leader...\"""
86,graphic novelist
87,new canton
88,john hill
89,griot
90,m.0cjm4sb
91,m.05zpq8
92,negro makers of history
93,ma$tadon
94,w.e.b. du bois and the unfolding history of the 21st century
95,doxographer
96,m.0105cwh9
97,author/editor
98,authors
99,songs of my people
100,barry o'hanlon
101,harlem renaissance dialogues (part 5): the need to know and the value of legacy
102,m.07y5k5c
103,intellectual history
104,current history
105,m.09ym_fk
106,"\""the emancipation proclamation...can remind us in 2013 of all the mistakes we never want to commit again but it can also motivate us to fulfill to an ever greater degree the definitive freedom-sustaining and life-enhancing principles of democracy in living action.\"""
107,huntington
108,dan humphrey
109,savannah tribune
110,sociology of race and ethnic relations
111,american history
112,kidney stone
113,m.034vjjt
114,"“sociologically, politically, psychologically, spiritually, it was never enough for him [james baldwin] to categorize himself as one thing or the other: not just black, not just sexual, not just american, nor even just as a world-class literary artist. he embraced the whole of life the way the sun’s gravitational passion embraces everything from the smallest wandering comet to the largest looming planet. he both confronted and cultivated creative vision with a drive, passion, and brilliance that few have matched, and simply being able to watch his genius sparkle from one sentence to the next could generate both awe and revelation.”"
115,m.0b477__
116,memory-song painted gold: for the blue yusef lateef (1920-2013)
117,m.0_z5mw9
118,poet
119,m.0h_2gp9
120,countdown of 10 amazing moments from the year 2011: no. 9 belafonte's new song
121,m.0d521lm
122,m.0dhxckc
123,virginia
124,m.047n123
125,humorist
126,profession
127,"savannah, immortal city: volume one of the civil war savannah series"
128,creative thinkers international
129,carter g. woodson: a life in black history
130,m.0g8qg3r
131,publishing
132,three publishing trends & their implications
133,ethnicity
134,published
135,bright skylark literary productions
136,"savannah: brokers, bankers, and bay lane"
137,m.09y0fr5
138,lucas scott
139,m.0b48pfv
140,"washington, d.c."
141,notebook on black history month 2012 (part 6) the consecrated soul of whitney houston
142,m.0_z5l4q
143,m.011qyfwc
144,m.09yfmxr
145,edgar allan poe
146,m.09xsqkm
147,report on 2011 international year part 4 haiti's hope now and tomorrow
148,american english
149,story of the negro retold
150,the rural negro
151,m.034r0v5
152,authors frequently mentioned on the web
153,radio writer
154,m.0g8qg34
155,m.0_y5j64
156,speechwriter
157,m.01283tsj
158,book editions published
159,m.0105wbtx
160,association for the study of african american life and history
161,m.0448y9k
162,m.06_08pj
163,m.05gmrc3
164,"“however the world community chooses to interpret it, where michael jackson himself is concerned, if the purpose of a legacy is to help make the world a richer, more fulfilling, and more humane place than it was during one’s lifetime, he can rest in peace knowing he did exactly that.” --from michael jackson, legacies of a globetrotting moonwalking philanthropist"
165,professor pickle
166,m.07ndk95
167,dupuytren's contracture
168,the new black
169,african voices a soulful collection of art and literature
170,m.06_08pr
171,african-american monument
172,sea island creole english language
173,m.0cbdb
174,actinic keratosis
175,report on 2011 international year part 3 in the land of afro-germans
176,belle taylor
177,series written (or contributed to)
178,m.09y422x
179,m.09y0_n6
180,"black history month observance rule (united states, 1976 - now)"
181,m.0_z5kn3
182,author(s)
183,notebook on black history month 2012
184,m.0h_2hk8
185,u.s. national park service
186,buckingham county
187,23123
188,poetics of paradigm dancing in the 2012 presidential election campaign
189,presidency of barack obama
190,notes on the 150th anniversary of the emancipation proclamation
191,slavery in the united states
192,m.09ys0vx
193,pancreatic cancer
194,food writer
195,attention deficit hyperactivity disorder
196,passenger number 4 character in atlas shrugged
197,ciro pellegrino
198,lemony snicket
199,the consecrated soul of whitney houston
200,historian of science
201,dan vasser
202,the negro professional man and the community
203,scholars
204,liner notes author
205,"\""from her gospel-singing mother cissy houston, her legendary pop-diva cousin dionne warwick, and her queen of soul godmother aretha franklin, she [whitney houston] inherited gifts for skillfully interpreting lyrics and endowing them with new depth and jeweled nuance.\"""
206,writers and authors
207,m.0_zdby5
208,"\""the fact that an african american sits in the white house at the helm of government in the united states of america on this 150th anniversary of abraham lincoln’s emancipation proclamation represents both phenomenal political symbolism and a victory of faith in democracy that should not be lost on any american. \"""
209,m.09xgcsk
210,"\""overall, my books represent a kind of shared communion and meditation with my fellow human beings… the books are also a part of what i call the great continuum of spiritual literary dialogue that i feel has been in progress since human beings first gave in to the urge to pray to their sense of something greater than themselves and interpreted certain signs or events or silences as responses to those prayers.\"""
211,gastritis
212,the washington post
213,the wisdom of w.e.b. du bois
214,african diaspora
215,sebaceous cyst
216,m.09wtdky
217,m.09wwv2n
218,anti-racism
219,7 ways to help replace legislated fear with informed compassion
220,"\""the fact that a significant number of black youths' deaths can be described as the result of “black on black” violence does not negate the truth or root causes at the core of the issue.\"""
221,journalism
222,brandon m. dennis
223,african american vernacular english
224,m.0ws2n8_
225,m.09xlk7r
226,m.09ynmgl
227,kansas
228,m.09y971d
229,bard
230,m.09wsx_v
231,m.04p7zsw
232,g.125f2tkz2
233,the chronicle of higher education
234,"noi preacher in 1998, in england."
235,"trayvon martin, robert lee, and millions of tears fallen (part 1)"
236,m.0105ctc6
237,datajournalist
238,satirist
239,entertainment journalism
240,m.0nflmmh
241,m.0g8qfbh
242,the washington times
243,economic historian
244,m.0109xrhb
245,m.0105cspy
246,m.0nfq0_4
247,m.09y065m
248,book
249,eugenics
250,"\""the speech is particularly remarkable for the way it balances a militant rejection of racial and political oppression with unwavering faith in humanity’s ability to exercise love and moral vision in the face of hatred and xenophobia.\"""
251,m.0d5218t
252,the education of the negro prior to 1861
253,g.125g1yrzh
254,m.0_z5k70
255,m.04wrwjv
256,m.0gxvv0q
257,area code 202
258,corneal abrasion
259,m.09ys4my
260,m.04j64q8
261,m.02zd4tr
262,m.0dj2h10
263,zaman
264,notebook on black history month 2012 (part 1) original post
265,"\""'mixtape' is a very appropriate word to include in the title of goran hugo olsson’s film because it includes a rich mixture of cultural voices. they speak across different dividing lines such as those of haves and have-nots, youth and maturity, black and white, national and global, and the past and the present.\"""
266,ricky williams
267,m.0g8nbff
268,m.09y5mky
269,serge a. storms
270,intellectual historian
271,m.09w7g5_
272,kidney cancer
273,m.09xzvhc
274,m.0_y5j47
275,knowledge
276,mikael blomkvist
277,berea college
278,"trayvon martin, robert lee, and millions of tears fallen"
279,m.09y4_xz
280,novelist
281,m.09xt_5p
282,kitty walker
283,clark kent
284,m.0448y9y
285,agent
286,asthma
287,m.0_z5kpd
288,muckraker
289,savannah talks troy anthony davis no. 12: u.s. supreme court rejects appeal
290,m.0b475r7
291,kilgore trout
292,historian of africa
293,urolithiasis
294,m.09wwybr
295,phone trick
296,m.012r348w
297,10 great moments in african-american history
298,m.09y2sf4
299,g.1258kfqgd
300,matt moniz
301,g.125fj86cv
302,person
303,m.010hvswb
304,media historian
305,ernest pratt
306,literature subject
307,topic
308,africanamericans2
309,myocardial ischemia
310,g.125_r3971
311,hair loss
312,m.0b48hth
313,ruth osborne
314,topic webpage
315,1911 golden potlatch - afro-americans
316,m.09wgl39
317,m.0448y91
318,m.0dhdgyj
319,sports reporter
320,the history of the negro church
321,m.0kfyrv7
322,tony hills
323,m.0_zdbyn
324,african american rock musicians
325,m.0_z5m7x
326,syphilis
327,veronica quaife
328,m.0_z5mgf
329,"\""if there is such a thing as healing wounds from the past by applying acts of grace in the present, it may be possible that people in the united states are becoming more and more proficient at it.\"""
330,hirschsprung's disease
331,m.09wykx7
332,stroke
333,m.03_t_c
334,m.09y216l
335,multiple myeloma
336,black gold: an anthology of black poetry
337,african american national biography project
338,m.0b47n9t
339,m.09yb7sd
340,works edited
341,m.0b47xc0
342,"the mind of the negro as reflected in letters written during the crisis, 1800-1860"
343,g.125b2ph3f
344,carrie bradshaw
345,nature historian
346,building
347,j. j. woods – author - the forgotten covenant
348,city/town/village
349,g.125b8z0ty
350,m.0zm9_69
351,screenwriter
352,m.03pph7r
353,carter g woodson a life cover
354,m.09wz0jy
355,the approaching 100th anniversary of the harlem renaissance (part 1)
356,the mis-education of the negro
357,contributing authors
358,website content writer
359,education
360,brian griffin
361,milo bloom
362,m.05bvjy3
363,africa
364,spanish language
365,g.125bt9qj8
366,editor
367,open library id
368,m.0h_2h78
369,m.0bm6pqb
370,m.09x7ymb
371,m.09wt37r
372,m.01066nd4
373,tough love from author enablers helps get the writing job done
374,m.04j64rh
375,essayist
376,moses of chorene
377,m.03pl0rn
378,marcie walsh mcbain
379,m.0b478cr
380,feminist writer
381,m.03pq41b
382,write that book already!
383,science writer
384,free negro owners of slaves in the united states in 1830
385,esophageal cancer
386,greg barker
387,edmund grey
388,m.0d8qn
