node_id,node_attr
0,m.0z9fp98
1,tv land quintessential non-traditional family award
2,guerrilla decontextualization and the 2012 presidential election campaign (part 1)
3,african american
4,m.0mwk00_
5,people's choice award for favorite young tv performer
6,the great buck howard
7,indie film
8,m.07nf2rn
9,gary coleman
10,m.0bgswsl
11,knock it off
12,edmonia sue
13,person
14,m.0h1q2q7
15,male
16,barrett's esophagus
17,zion
18,m.07fhbdg
19,voice actor
20,m.0yq9dfg
21,m.0z3z8zr
22,m.0jwf58
23,church ball
24,m.0z3tmt4
25,nominated work
26,m.0_y5l3x
27,12th naacp image awards
28,m.0z9smkl
29,tv land most heart warming pet-human relationship award
30,shannon price
31,united states of america
32,burn
33,major trauma
34,english language
35,m.07n73w_
36,profession
37,m.0vmvbmp
38,southern united states
39,harlem renaissance way down south
40,parkinson's disease
41,seborrheic dermatitis
42,m.02_98hd
43,date of birth
44,danny cooksey
45,film actor
46,provo
47,city/town/village
48,pancreatic cancer
49,disease or medical condition
50,otis p. bigg
51,m.0h1q2mm
52,m.03lhv0m
53,andy le beau
54,dirty work
55,comedy
56,m.0z5v_x_
57,m.0h1q2p3
58,m.0g0jzb8
59,perfect dad
60,g.11x1fq9lm
61,deceased person
62,date of death
63,razzie award for worst new star
64,m.0n5c364
65,zionbenton
66,ethnicity
67,published
68,m.0dksn6x
69,bright skylark literary productions
70,place of death
71,m.0z2xbjt
72,11th people's choice awards
73,m.02_9dl9
74,arnold jackson
75,notebook on black history month 2012 (part 1): carter g. woodson and company
76,actor
77,african-american monument
78,sea island creole english language
79,m.0f_wgn9
80,m.0hkr17l
81,m.0ysrsp6
82,m.07fhbd1
83,jeremy yablan
84,"savannah: brokers, bankers, and bay lane"
85,m.0cg30x5
86,him/herself
87,attention deficit hyperactivity disorder
88,on the right track
89,m.0gvxgpy
90,the kid with the 200 i.q.
91,m.0mzkw1h
92,epidural hematoma
93,injury
94,m.0vn5p39
95,"\""from her gospel-singing mother cissy houston, her legendary pop-diva cousin dionne warwick, and her queen of soul godmother aretha franklin, she [whitney houston] inherited gifts for skillfully interpreting lyrics and endowing them with new depth and jeweled nuance.\"""
96,location
97,m.0h1q2lw
98,m.0ysrs4n
99,dickie roberts: former child star
100,sebaceous cyst
101,m.0h1q2l3
102,"\""the fact that a significant number of black youths' deaths can be described as the result of “black on black” violence does not negate the truth or root causes at the core of the issue.\"""
103,year
104,date/time
105,m.0h1q2m_
106,parents
107,m.05yrg4m
108,midgets vs. mascots
109,savannah tribune
110,female
111,zasporn
112,m.0g8qfbh
113,"camp logan, illinois"
114,illinois
115,m.0y8734m
116,voice acting in japan
117,the devil
118,m.0h1q2hw
119,the gary grill
120,m.059q9kq
121,siblings
122,an american carol
123,m.09y065m
124,todd bridges
125,m.0hkr19t
126,a pop culture primer for ms. rip van winkle
127,m.09xfz2k
128,m.04j64q8
129,m.021_kkl
130,diff'rent strokes
131,america 2-night
132,m.09ysvx8
133,harlem renaissance
134,songs of my people
135,6th people's choice award
136,m.09w7g5_
137,kidney cancer
138,m.0h1q2kr
139,m.0dkl4jk
140,mom's away (2)
141,m.0h1q2r5
142,g.12vqht2tb
143,m.09y4_xz
144,urethritis
145,save virgil
146,short film
147,cerebral hemorrhage
148,the kid with the broken halo
149,heart attack
