node_id,node_attr
0,m.0z5k1c4
1,winning work
2,"whenever, wherever"
3,m.08g0n4
4,radioio lovesongs
5,broadcast content
6,objection (tango)
7,m.0h2_k70
8,los angeles
9,2005 billboard music awards
10,m.0zgln__
11,m.0z0c0pj
12,world music award for world’s best selling latin artist
13,underneath your clothes
14,laundry service
15,"whenever, whenever"
16,whenever wherever
17,medicine
18,shakira
19,ojos así
20,musical recording
21,rules
22,m.0qg_4j5
23,don't bother
24,la tortura (shaketon remix)
25,la tortura
26,ojos asi (album version)
27,lester mendez
28,m.0pd2rf_
29,"te aviso, te anuncio (tango)"
30,grandes éxitos
31,dance-pop
32,g.1254y3gfk
33,¿dónde estás corazón?
34,donde estás corazón (remix single)
35,english language
36,bubblegum pop
37,k-pop
38,m.09nb6_p
39,king & queen
40,m.0zdgp3d
41,2006 world music awards
42,si tú no vuelves
43,b'day
44,funk
45,addicted to you
46,poem to a horse
47,live and off the record
48,m.0pd2yzf
49,"fijación oral, vol. 1"
50,underneath your clothes (thunderpuss radio mix)
51,donde estás corazón
52,dónde estás corazón
53,lil wayne
54,m.0w2hn2g
55,sombra de ti
56,ready for the good times
57,alfred figueroa
58,m.0_lx3kk
59,animal city
60,"oral fixation, volume 2"
61,latin grammy award for best short form music video
62,m.0pkz6ch
63,m.0pc83pl
64,"te aviso, te anuncio (gigi d'agostino tango remix)"
65,m.0zgh1f8
66,billboard music award for top latin song
67,cirkut
68,la la la (brazil 2014)
69,m.010mzjrn
70,lo imprescindible
71,rihanna
72,soul music
73,m.0qjn64t
74,guitar
75,octavo día
76,m.0qgy57j
77,eyes like yours (ojos así)
78,inevitable
79,dare (la la la)
80,billboard
81,sony bmg
82,beautiful liar
83,"ciego, sordomuda"
84,alternative rock
85,m.0j_nxmm
86,tim mitchell
87,donde astas corazon
88,the remixes
89,remix album
90,fool
91,te dejo madrid
92,can't remember to forget you
93,musical album
94,madonna
95,pop music
96,underneath your clothes (thunderpuss club mix)
97,ready for the good times (thunderpuss vocal edit)
98,m.04p4_p2
99,marcelo añez
100,new york city
101,m.0zmq6bk
102,hips don't lie
103,artist
104,suete
105,suerte
106,mark bright
107,spotlight
108,the one
109,m.01t4llz
110,wyclef jean
111,g.125fwcqv6
112,greg kurstin
113,male
114,dónde están los ladrones (mtv unplugged)
115,live & off the record
116,underneath your clothes (thunderpuss tribe-a-pella)
117,singer-songwriter
118,sebastian krys
119,lenny kravitz
120,rock music
121,empire
122,"oral fixation, vol. 2"
123,mi verdad
124,children
125,m.09xfp1x
126,la pared (versión acústica)
127,brown-eyed soul
128,brika
129,obtener un si
130,"objection (tango) (eric kupper 12\"" club mix)"
131,"wyclef jean on his new album, the future of the fugees, and being confused with will.i.am"
132,m.09wp9k2
133,"suerte (whenever, wherever) (album version)"
134,sony music entertainment
135,je l'aime à mourir
136,initial release date
137,23
138,pies descalzos
139,album
140,rhythm and blues
141,laundry service: washed and dried
142,moscas en la casa
143,pure intuition: the best of collection
144,m.076vy1s
145,si te vas
146,m.060h3mg
147,m.0v3cpsq
148,him/herself
149,give it up to me
150,song
151,alec baldwin
152,united states of america
153,carlos santana
154,rca records
155,m.0b46zdh
156,shakira at oxford: excerpts from the pop star’s speech
157,antología
158,sale el sol
159,"suerte (whenever, wherever)"
160,m.0j_n1gj
161,dave clauss
162,pop rock
163,m.09wntpd
164,entertainment weekly annotation index
165,m.0_l_gg0
166,alma award for outstanding album
167,george noriega
168,donde estás corazón (dance remix)
169,tank
170,dancer
171,día de enero
172,mtv video music awards collection: hip pop
173,music
174,m.0bkkb34
175,http://www.discogs.com/artist/shakira
176,m.0q839g6
177,get it started
178,que me quedes tú
179,tu
180,contemporary r&b
181,oios asi
182,en vivo y en privado
183,m.0_m1z7p
184,7th alma awards
185,scott kieklak
186,día de enero (video clip)
187,pitbull
188,person
189,g.1258mql4d
190,¿dónde estás corazón? (dub-a-pella mix)
191,barcelona
192,spain
193,tampa
194,new jack swing
195,m.0dkr4qk
196,m.0zg4z9n
197,year
198,gender
199,tú
200,radio rouge
201,m.0qff2fb
202,techno
203,detroit techno
204,shakira website
205,m.03lqc2j
206,gypsy
207,gypsy (en vivo)
208,m.0d_thw1
209,shakira lyrics
210,m.0pd2tfx
211,latin grammy award for song of the year
212,la pared (live video clip)
213,la pared
214,place of birth
215,adam messinger
216,parents
217,date of birth
218,no creo
219,nunca me acuerdo de olvidarte
220,alice's birthday
221,m.0v3f157
222,adam blackburn
223,la tortura (video)
224,william mebarak chadid
225,john hill
226,waka waka (this time for africa)
227,"whenever, wherever (tracy young's spin cycle mix)"
228,wyuu
229,gloria estefan
230,colección de oro
231,latin pop
232,m.0jvgnw3
233,no
234,single
235,ian dench
236,synthpop
237,m.09yqq5p
238,m.0zd21g6
239,m.09nb6yz
240,"season 2, episode 7"
241,m.0k2xlnd
242,kevin killen
243,studio album
244,"ciega, sordomuda"
245,m.0cjnm0
246,día especial (feat. gustavo cerati)
247,"fijación oral, volume 1"
248,objection (tango) (jellybean mix) (english)
249,shakira: oral fixation tour
250,m.0v3cndh
251,ojos así (eyes like yours)
252,composition
