node_id,node_attr
0,m.0d7cskv
1,billy dee williams
2,m.0y47jyk
3,painter
4,singer
5,musicians and singers
6,guerrilla decontextualization and the 2012 presidential election campaign (part 1)
7,african american
8,m.0ycn1jm
9,just/in time
10,m.0cw01s1
11,m.0z9sxsb
12,1st annual tv land awards
13,francisco goya
14,m.0jv242
15,two-face
16,male
17,barrett's esophagus
18,loretta anne williams
19,m.09xrzmr
20,entertainment weekly annotation index
21,m.0v2k7q5
22,voice actor
23,m.0yq9dfg
24,m.09nptm5
25,m.04j69cl
26,new york city
27,m.0hzkk2d
28,marlene clark
29,country of nationality
30,the last place on earth
31,m.0cw0zdh
32,davido
33,gender
34,m.02vcwnk
35,english language
36,m.07n73w_
37,profession
38,southern united states
39,harlem renaissance way down south
40,parkinson's disease
41,seborrheic dermatitis
42,m.0y8fdx2
43,m.02_98hd
44,m.0gz4lvl
45,classic creatures: return of the jedi
46,"william december williams, sr."
47,loretta williams
48,m.09nptq3
49,m.0pxjbfh
50,m.0g9ll5h
51,good neighbor
52,m.0z8y6l6
53,year
54,m.0k18pj
55,nighthawks
56,children
57,person
58,mahogany
59,m.02tbb_b
60,m.09nptl3
61,the american film institute salute to henry fonda
62,percy & thunder
63,united states of america
64,m.09nptn_
65,m.02vc7x7
66,brian's song
67,m.0v2k84w
68,naacp image award for outstanding actor in a motion picture
69,m.0_tm1_7
70,m.0bmlnc_
71,sandro botticelli
72,bright skylark literary productions
73,speculative fiction
74,twilight
75,audrey sellers
76,m.0h2jyks
77,m.0y7nvsw
78,m.0yg5npd
79,the conversation
80,m.09y1hvk
81,ethnicity
82,published
83,m.0947825
84,nate phelps
85,fear city
86,mystery
87,m.011m00mv
88,scott joplin
89,notebook on black history month 2012 (part 1): carter g. woodson and company
90,tv land blockbuster movie of the week award
91,nick allen
92,m.0jzgf7
93,6th naacp image awards
94,actor
95,undercover brother
96,m.0w2b278
97,m.010g_8m5
98,african-american monument
99,sea island creole english language
100,m.0ysrsp6
101,robert delgado
102,m.0crz_pr
103,brian
104,hanako williams
105,m.0z8y6p7
106,4th annual tv land awards
107,jeremy yablan
108,m.0_tlx3m
109,the bingo long traveling all-stars & motor kings
110,m.0y7_gzk
111,m.03jsdb3
112,visual artist
113,double dare
114,m.0h2jz3m
115,lando calrissian
116,"savannah: brokers, bankers, and bay lane"
117,pancreatic cancer
118,m.0jx6f_9
119,attention deficit hyperactivity disorder
120,m.0dgl34r
121,m.09nptpr
122,o western wind (1)
123,"\""from her gospel-singing mother cissy houston, her legendary pop-diva cousin dionne warwick, and her queen of soul godmother aretha franklin, she [whitney houston] inherited gifts for skillfully interpreting lyrics and endowing them with new depth and jeweled nuance.\"""
124,m.0csc7sd
125,triplecross
126,m.0y81k3p
127,m.0ysrs4n
128,m.0dk0bng
