node_id,node_attr
0,m.0wg6d6j
1,the color purple
2,zora neale hurston
3,alice walker
4,alice walker: beauty in truth
5,m.0xndvl_
6,the third life of grange copeland
7,book edition
8,a moment in time: conversations with legendary women: african american women of achievement
9,documentary film
10,veganism
11,jainism
12,m.03jqzmj
13,putnam county
14,j. michael riva
15,children
16,m.0bl635l
17,m.05ckhkk
18,guerrilla decontextualization and the 2012 presidential election campaign (part 1)
19,african american
20,a people's history of the united states
21,m.0b653j_
22,playwright
23,writer
24,m.0gxhl1c
25,howard zinn
26,patricia hill collins
27,glades cross-roads
28,georgia
29,actor
30,narrator
31,shiloh mccloud
32,country of nationality
33,possessing the secret of joy
34,9781568953519
35,m.0_70w3n
36,horses make a landscape look more beautiful
37,horses make a landscape look more beautiful : poems
38,g. l. p. wren
39,m.0b42z1m
40,nominated work
41,author
42,the color purple.
43,m.0_ktdg1
44,bo welch
45,united states of america
46,new york city
47,g.125bwrfdb
48,m.07d4jbc
49,the temple of my familiar.
50,g.1255sm2rp
51,kathleen kennedy
52,amblin entertainment
53,original language
54,hardcover
55,kiersten fay
56,english language
57,bathilda bagshot
58,singleton house
59,m.0bnsmy5
60,emma
61,southern united states
62,harlem renaissance way down south
63,m.011nj8nh
64,the sanctified church
65,"it seems our fate to be incorrect (look where we live, for example), and in our incorrectness stand."
66,political correctness
67,m.0r55ygb
68,events in 2011 and forthcoming book strengthen james baldwin's legacy
69,the consecrated soul of whitney houston
70,love
71,dorothy allison
72,dorothy allison at the brooklyn book festival
73,shug avery
74,menno meyjes
75,gender
76,writing saved me from the sin and inconvenience of violence.
77,a gigantic mistake
78,zadie smith
79,edited by
80,film
81,nettie
82,author/editor
83,spelman college
84,bastard out of carolina
85,lucy ann hurston
86,authors
87,m.0b6rk43
88,gayl jones
89,m.0n1mffm
90,having a point of view
91,pre-20th century period pieces
92,hallwood
93,des pas dans la poussière
94,person
95,emma goldman
96,"“sociologically, politically, psychologically, spiritually, it was never enough for him [james baldwin] to categorize himself as one thing or the other: not just black, not just sexual, not just american, nor even just as a world-class literary artist. he embraced the whole of life the way the sun’s gravitational passion embraces everything from the smallest wandering comet to the largest looming planet. he both confronted and cultivated creative vision with a drive, passion, and brilliance that few have matched, and simply being able to watch his genius sparkle from one sentence to the next could generate both awe and revelation.”"
97,writers and writing
98,music by
99,everyday use
100,(live at the solidarity conference)
101,m.0kjvwq5
102,major/field of study
103,fiction
104,xarque and other poems
105,dust tracks on a road
106,book
107,advice for history teachers
108,the temple of my familiar
109,resseaus crossroads
110,dan humphrey
111,their eyes were watching god
112,height
113,m.0b43024
114,national book award for fiction (hardcover)
115,m.010p21d9
116,m.0j6k3f3
117,marriage
118,m.0hjghkz
119,jennifer berezan: praises for the world
120,m.0gyy834
121,novelist
122,m.010fp24m
123,m.0j0_hdn
124,m.010bq8wn
125,meridian
126,m.02x33c6
127,the ludlow massacre
128,poet
129,m.04v3dn8
130,maya angelou
131,m.0nd03v3
132,m.0106762c
133,harmony
134,date of birth
135,james baldwin
136,siblings
137,class legislation
138,ethnicity
139,published
140,film & television history
141,m.094k6mf
142,deborah santana
143,eve ensler
144,place of birth
145,the third life of grange copeland.
146,m.07_j6
147,m.03nb8d9
148,1983 pulitzer prize
149,g.12577x4_9
150,m.0gy_l9w
151,parents
152,oconee springs
153,bright skylark literary productions
154,"folklore, memoirs, and other writings"
155,"dennis, putnam county, georgia"
156,against sadomasochism
157,judith butler
158,to hell with dying
159,allen daviau
160,mrs. johnson
161,m.01283tsj
162,book editions published
163,m.01064q5h
164,every tongue got to confess
165,m.0hjghp8
166,frank marshall
167,notebook on black history month 2012 (part 1): carter g. woodson and company
168,m.07ndk95
169,mules and men
170,african-american monument
171,sea island creole english language
172,9780671683993
173,das lächeln der vergebung
174,m.0cg3vkl
175,howard zinn: you can´t be neutral on a moving train
176,m.0_71bdg
177,m.0_tlj5q
178,award nominee
179,rebecca walker
180,jackson
181,"the sight of a black nun strikes their sentimentality; and, as i am unalterably rooted in native ground, they consider me a work of primitive art, housed in a magical color; the incarnation of civilized, anti-heathenism, and the fruit of a triumphing idea."
182,m.0lkx1__
183,the way forward is with a broken heart
184,anything we love can be saved
185,anything we love can be saved : a writer's activism
186,el color purpura/the color purple
187,jeremy yablan
188,m.04hvqy8
189,minnie lou tallulah grant
190,female
191,prequel
192,m.0w_l6x3
193,award winner
194,g.1254_qxbs
195,"savannah: brokers, bankers, and bay lane"
196,m.09lxsl2
197,m.0_88h48
198,g.1258h434p
199,pancreatic cancer
200,lyric poet
201,m.0b82t_n
202,lemony snicket
203,san francisco
204,mosquito  part 1 of 2
205,m.04vx3jd
206,"\""from her gospel-singing mother cissy houston, her legendary pop-diva cousin dionne warwick, and her queen of soul godmother aretha franklin, she [whitney houston] inherited gifts for skillfully interpreting lyrics and endowing them with new depth and jeweled nuance.\"""
207,place of death
208,location
209,phoenix
210,melvyn leventhal
211,i have learned not to worry about love; but to honor its coming with all my heart.
212,quincy jones
213,m.0j6cnxx
214,m.05bs6tf
215,m.010gbnxw
216,m.0_zdby5
217,consumer product
218,m.010b1v3z
219,savannah talks troy anthony davis no. 12: u.s. supreme court rejects appeal
220,philadelphia
221,"the experience of god, or in any case the possibility of experiencing god, is innate."
222,"\""the fact that a significant number of black youths' deaths can be described as the result of “black on black” violence does not negate the truth or root causes at the core of the issue.\"""
223,brandon m. dennis
224,male
225,m.0_kt8vd
226,m.0zjpdx1
227,year
228,michael kahn
229,jewish people
230,m.0_7179x
231,him/herself
232,tag
233,date/time
234,historian
235,terrorism and war
236,steven spielberg
237,savannah tribune
238,m.0k8pwp
239,the approaching 100th anniversary of the harlem renaissance (part 2)
240,richard hofstadter
241,jenny zinn
242,m.04hh9yd
243,m.0108bgf9
244,m.0g8qfbh
245,m.0n1m_j2
246,the passion-driven writer and the digital-age literary marketplace
247,shaheen haq
248,m.07lg3jv
249,linchburg
250,brooklyn
251,m.0b6rm8y
252,2013 chicago international film festival
253,naomi klein
254,bastard out of carolina (essential edition): (plume essential edition)
255,m.04hdd50
256,end date
257,m.010b8nx4
258,carol sennett
259,en posesion del secreto de la alegria
260,date of death
261,"how simple a thing it seems to me that to know ourselves as we are, we must know our mothers names."
262,mother
263,m.09y065m
264,m.01064lg7
265,warrior marks
266,m.0n62_90
267,m.010b177d
268,essayist
269,m.0bv78
270,quartet of poems
271,m.0lkx20h
272,cerridwen fallingstar
273,"as imagination bodies forth the forms of things unknown, the poet's pen turns them to shapes"
274,m.0cj8ddw
275,the people speak
276,audre lorde
277,a poem traveled down my arm: poems and drawings
278,screenplay by
